umap_1,umap_2
2.7578998,4.713076
6.2501254,9.553551
-2.019855,2.6590753
-0.5272318,-0.7725488
-3.5113204,11.8740835
9.490076,-3.4129007
10.873364,2.1842096
-0.8327718,-5.2118444
2.6984673,8.223194
-0.5816301,-1.447624
-7.578603,4.5227456
3.6481457,-5.214329
14.875683,-3.9956083
-0.26705053,3.3948386
-1.2542516,-3.5914264
-0.9737289,-4.4121795
4.9786444,0.6419351
11.459797,-3.053412
9.327119,-3.5263743
-3.8179553,11.576476
9.274106,-9.0142765
9.278182,-9.02142
1.1010965,4.476434
5.1239324,0.6722965
2.8442683,7.537571
-4.061444,12.120649
-2.061014,2.67226
-3.5851827,11.914141
-2.7441928,4.4181685
3.4639912,-12.341702
-3.3097115,8.0479145
0.17362432,5.737716
8.196645,5.979096
-0.30376154,3.3857274
3.8689964,-5.4533033
-1.6244314,-9.325417
-3.1600127,11.208596
7.792401,-5.312795
3.832219,-5.495281
-10.268413,1.3454319
-7.196603,2.933332
4.631192,-3.486961
3.7216747,-5.743206
-3.503808,11.869094
7.3066244,3.6687984
3.7444248,-5.2798934
-4.056097,12.129088
11.593494,-6.3261833
7.6725307,3.525388
7.151059,13.886462
10.567046,5.228586
-0.6161919,-4.149301
-4.745274,-6.9615297
4.8304086,7.2857327
2.9191167,7.579518
8.910056,-8.475811
9.720979,-5.1793513
-0.90860784,-0.27070543
-0.6512783,2.2698882
2.4980326,8.144705
